label,text,source
smish,জয়! আপনি Google লটারিতে $৫০০০০ জিতেছেন। claim করতে: winlottery.tk/claim পূরণ করুন।,Bengali
smish,বাংলাদেশ ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801917788990,Bengali
smish,জনতা ব্যাংক অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে কল করুন: +8801815566778,Bengali
normal,ব্যবসায়ী হওয়া অপরাধ না কিন্তু রাজনৈতিক প্রভাব খাটিয়ে ব্যবসায়ী হওয়া বড় অপরাধ। কারণ এই ব্যবসায়ীদের অর্জিত অর্থের বেশিরভাগই আসে সাধারণ মানুষের রক্তচোষা টাকা থেকে। — রেদোয়ান মাসুদ,Bengali
promo,"স্টেশনারিতে মেগা সেল! কলম, নোটবুক, ব্যাগে ৩৫% ছাড়।",Bengali
smish,জয়ধ্বনি! আপনার নাম সরকারি লটারিতে এসেছে। ৫০ লক্ষ টাকার পুরস্কার।,Bengali
smish,আপনার স্টুডেন্ট লোন একাউন্ট সাসপেন্ড। রিঅ্যাক্টিভেট: student-loan.tk,Bengali
smish,"আপনার অ্যাকাউন্টটি অবিলম্বে আপডেট করুন, না হলে এটি বন্ধ হয়ে যাবে। লিঙ্কে ক্লিক করুন: [bit.ly/AccountUpdateBD]",Bengali
promo,পিজা হাটে কম্বো অফার! ২টি পিজা + ২টি কোক = ৭৯৯ টাকা মাত্র।,Bengali
promo,Banglalink গ্রাহকরা শুক্রবার ৪ জিবি মাত্র ৭৯ টাকায় পাবেন। বৈধতা ৩ দিন।,Bengali
smish,আপনার মোবাইল নম্বর যাচাই করতে এখানে ক্লিক করুন: [mobileverify.com/VerifyBD],Bengali
smish,আপনার মোবাইল রিচার্জ করতে কল করুন: +8801818899001,Bengali
smish,আপনার পুরস্কারের টাকা পেতে কল করুন: +8801811234567,Bengali
smish,"অভিনন্দন!! দারাজ থেকে BDT 5,000 গিফট ভাউচার পান। দাবির জন্য লিঙ্কে ক্লিক করুন: www.face3b00kurl.com।",Bengali
normal,"আম্মু, আমার পরীক্ষার রেজাল্ট কাল বের হবে। দোয়া করবেন।",Bengali
smish,"ঈদ উপলয়ে ব্রাক ব্যাংক সবার বিকাশ একাউন্টে ১০০০ টাকা করে দিচ্ছে বোনাস হিসাবে। আমি এইমাত্র বিকাশের ওয়েবসাইটে আমার নাম্বার বসিয়ে টাকা নিলাম। আপনি যদি | এখনো না পেয়ে থাকেন তাহলে নিচের লিংকে ঢুকে আপনার বিকাশ নম্বর দিন আর সাথে সাথে পেয়ে যাবেন ১০০০ টাকা।
লিংকঃ https://bit.ly/bKash_1000",Bengali
promo,বিশাল সেভিংস! হোম ডেকোরেশন আইটেমে ৪৫% পর্যন্ত ছাড়। শুধু আজ!,Bengali
normal,"আজকে নতুন রেস্টুরেন্টে খেতে গিয়েছিলাম। খাবারের স্বাদ বেশ ভালো, দামও খুব বেশি না। ভাবছি আবারও যাবো।",Bengali
smish,সোনালী ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। জরুরি ভিত্তিতে বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801819876543,Bengali
smish,নগদ অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। কল করুন: +8801812122134,Bengali
smish,বাংলাদেশ ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: https://wa.me/8801914567890,Bengali
normal,"কাল রাতে নতুন সিনেমাটা দেখলাম। গল্পটা দারুণ ছিল, একেবারে মন ছুঁয়ে গেছে। আবার দেখতে ইচ্ছে করছে।",Bengali
promo,বাংলালিংকের সাপ্তাহিক ক্যাশব্যাক অফার – ২০০ টাকার রিচার্জে পান ৫০ টাকা বোনাস। রিচার্জ করতে আপনার নিকটস্থ দোকানে যান।,Bengali
promo,"মে-২৪
রিচার্জ:0৳
খরচ:
ডেটা:287৳
ভয়েস:101৳
অন্যান্য:0৳",Bengali
smish,প্রিয়জনের মুখে হাসি ফুটাতে ডায়াল *213*6551# চার্জ ৮২.৬৭ প্রতিদিন,Bengali
normal,কেমন চলছে তোমার দিন?,Bengali
promo,Robi eShop থেকে ল্যাপটপ কিনলে ফ্রি ব্যাগ ও মাউস পাচ্ছেন। সীমিত সময়ের অফার।,Bengali
promo,Banglalink-এ আজ ১০০ টাকার রিচার্জে ২০ মিনিট ফ্রি। শর্ত প্রযোজ্য।,Bengali
smish,শাকিবের সাথে লাঞ্চ করার সুযোগ পেতে আজই আইপিএলে বাজি ধরুন। শুরু করুন: ebayisapidlld.altervista.org/,Bengali
smish,খণ্ডকালীন জব।বেতন 5000 BDT/দিন।ঘরে বসে কাজ : wa.me/85295102105,Bengali
normal,আমার নাম্বারে ০১৭৩৬৬৩৭৩৮৭ ফ্লেক্সিলোড করে দাও ৫০০ টাকা,Bengali
normal,শুভ ঈদ-উল-ফিতর!,Bengali
smish,জরুরি নোটিশ: আপনার বিদ্যুৎ বিল বকেয়া। সংযোগ বিচ্ছিন্নের আগে পেমেন্ট: pay-bill.ga,Bengali
promo,"গ্রামীণফোনের মিনিট অফার এখন আরো আকর্ষণীয়! ২৭ মিনিট ২৪ ঘন্টা, নিতে রিচার্জ বা বিকাশ করুন ১৯ টাকা।",Bengali
smish,"আপনার লোন অনুমোদিত হয়েছে! মাত্র ৫% সুদে ৫,০০,০০০ টাকা লোন পেতে এখনই এই লিঙ্কে ক্লিক করুন",Bengali
promo,নতুন কালেকশন এসেছে! কে ও কে সালোয়ার কামিজে ৩৫% ছাড়।,Bengali
promo,"শেখ হাসিনা সরকারের সাফল্য:
বিগত ১৪ বছরে ১৪৪১ কি.মি. বাঁধ নির্মাণের ফলে দেশব্যাপী ৪.৪৩ লক্ষ হেক্টের এলাকায় বন্যা নিয়ন্ত্রণ ও নিষ্কাশন সুবিধার সম্প্রসারণ ঘটেছে।",Bengali
promo,Daraz App-এ নতুন ইউজার রেজিস্টার করলে ২৫০ টাকা ভাউচার ফ্রি। এখনই ডাউনলোড করে শপিং শুরু করুন।,Bengali
smish,আপনার পাসওয়ার্ডটি অবিলম্বে পরিবর্তন করুন। এখানে ক্লিক করুন: [passwordchange.com/ChangeBD],Bengali
smish,"Robi ব্যবহারকারী, আপনার সিম অবিলম্বে যাচাই করতে robicare-verification.org এ গিয়ে নাম, জন্মতারিখ এবং OTP দিন। যাচাই না করলে ১২ ঘণ্টার মধ্যে সিম ব্লক হবে।",Bengali
smish,Emergency! আপনার ইন্স্যুরেন্স পলিসি ক্যানসেল। সেভ করুন: save-policy.ml,Bengali
normal,আমি কালকে লাইব্রেরি থেকে 'মেঘনাদবধ কাব্য' এনেছি। পড়া শুরু করবো রাতে।,Bengali
smish,ফ্রিতে জয়েন করে আপনার ফ্রি সময়কে কাজে লাগিয়ে Dxn কম্পানিতে নেটওয়ার্ক মার্কেটিং বিজনেস করে একটা প্যাসিব ইনকামের রাস্তা তৈরি করতে চান তাহলে ইনবক্স করুন,Bengali
smish,অ্যাপল আইফোন ১৩ জিতেছেন! ডেলিভারি নিশ্চিত করতে কল করুন: +8801814567890,Bengali
promo,"ডাবলসেঞ্চুরি ক্যাশব্যাক ৳২০০!৬১জিবি+১০০০মি@ ৳৬৯৯, ৩০দিন cutt.ly/FwQhpKHc",Bengali
smish,গুরুত্বপূর্ণ: আপনার জন্মনিবন্ধন সার্টিফিকেট আপডেট। এখনই: update-birth-cert.cf,Bengali
smish,বাংলাদেশ ব্যাংক থেকে আপনার জন্য জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801919900112,Bengali
promo,বোনাস সহ ৭জিবি-১৩০টাকা-৩০দিন। নিতে ডায়াল *১২১*৫৪৬৯# বা ভিজিট mygp.li/mo,Bengali
promo,Shohoz Tickets-এ ট্রেন টিকিটে ১০% ছাড়। কোড: TRAIN10।,Bengali
promo,"১৮ মে আন্তর্জাতিক জাদুঘর দিবস। এবারের প্রতিপাদ্য : ""জাদুঘর, স্থায়িত্ব ও সমৃদ্ধি ""। এ উপলক্ষ্যে বাংলাদেশ জাতীয় জাদুঘরের দিনব্যাপী আয়োজনে আপনি সাদরে আমন্ত্রিত। ",Bengali
smish,আপনার ইমেল ঠিকানাটি যাচাই করতে এখানে ক্লিক করুন: [secureemail.com/VerifyBD],Bengali
smish,"বিকাশ গ্রাহক, আপনার একাউন্টে ৮,৫০০ টাকা ভুলবশত পাঠানো হয়েছে। রিফান্ড পেতে bkash-secureverify.org এ গিয়ে পিন দিন। না করলে একাউন্ট ফ্রিজ হবে।",Bengali
smish,আপনার অ্যাকাউন্টটি ভেরিফাই করতে কল করুন +8801813344556,Bengali
promo,"৪৫৳ ক্যাশব্যাক! ৪৬জিবি @ ৪৫৩৳, ৩০দিন, নিয়ে নাও এখনই: cutt.ly/4wQzxdl1",Bengali
normal,"রাগ করে কখনো ভালোবাসার মানুষকে কষ্ট দিতে নেই। রাগ কড়ে বেশি অবহেলা করতে নেই, ভালোবাসার মানুষকে। এতে করে জীবনের সবচেয়ে দামী জিনিস, ভালোবাসার মানুষকে হারাতে হয়।",Bengali
promo,আজকে মাত্র! আপনার Daraz অ্যাপে ১৫% ছাড় কোড: SAVE15। কিনুন যেকোনো প্রোডাক্টে এবং উপভোগ করুন সাশ্রয়।,Bengali
promo,"GP গ্রাহকরা আজ পাচ্ছেন সুপার বোনাস: ২ জিবি মাত্র ২৯ টাকা, বৈধতা ২ দিন। সক্রিয় করতে *121*29# ডায়াল করুন। অফার আজ রাত পর্যন্ত।",Bengali
smish,দারুণ খবর! আমাদের ভ্রমণ প্যাকেজে ৭০% ডিসকাউন্ট! দ্রুত বুকিং করুন এই নম্বরে :01317235293,Bengali
normal,একটা গল্প বলো। একবারে।,Bengali
promo,"দুর্গা পূজায় কেনাকাটা করুন ২৫% ছাড়ে, ২৫ অক্টোবর পর্যন্ত। ০১৭১৩১৯৯২৭০",Bengali
normal,তুমি কি আজ বিকেলে ক্রিকেট ম্যাচ দেখবে? বাংলাদেশ খেলছে পাকিস্তানের সাথে।,Bengali
smish,"bKash থেকে ১,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801717788990",Bengali
smish,"বিকাশ ব্যবহারকারী, আপনার একাউন্টে ১৫,০০০ টাকা অননুমোদিতভাবে স্থানান্তর হয়েছে। অবিলম্বে bkash-verifybd.org এ লগইন করুন এবং পিন/OTP প্রদান করুন। সতর্কবার্তা: ২৪ ঘণ্টার মধ্যে ব্যবস্থা না নিলে একাউন্ট স্থগিত হবে।",Bengali
