label,text,source,has_url,label_id,text_original,text_normalized,urls,url_count,url_count.1,url_total_length,url_max_length,url_digit_count,url_dot_count,url_hyphen_count,url_slash_count,url_has_https,url_has_ip,url_has_at,url_is_shortened,text_for_model,character_length,url_count.2,url_total_length.1,url_max_length.1,url_digit_count.1,url_dot_count.1,url_hyphen_count.1,url_slash_count.1,url_has_https.1,url_has_ip.1,url_has_at.1,url_is_shortened.1,text_unicode,text_clean,phone_count,has_phone,digit_count,number_count,has_digits,char_count,word_count,exclamation_count,question_count,comma_count,dot_count,colon_count,special_char_count,currency_count,has_currency,security_keyword_count,has_security_keyword,bangla_char_count,english_char_count,bangla_ratio,english_ratio,has_bangla,has_english,scaled_url_count,scaled_url_total_length,scaled_url_max_length,scaled_url_digit_count,scaled_url_dot_count,scaled_url_hyphen_count,scaled_url_slash_count,scaled_url_has_https,scaled_url_has_ip,scaled_url_has_at,scaled_url_is_shortened,scaled_phone_count,scaled_has_phone,scaled_digit_count,scaled_number_count,scaled_has_digits,scaled_char_count,scaled_word_count,scaled_exclamation_count,scaled_question_count,scaled_comma_count,scaled_dot_count,scaled_colon_count,scaled_special_char_count,scaled_currency_count,scaled_has_currency,scaled_security_keyword_count,scaled_has_security_keyword,scaled_bangla_char_count,scaled_english_char_count,scaled_bangla_ratio,scaled_english_ratio,scaled_has_bangla,scaled_has_english,scaled_url_count,scaled_url_total_length,scaled_url_max_length,scaled_url_digit_count,scaled_url_dot_count,scaled_url_hyphen_count,scaled_url_slash_count,scaled_url_has_https,scaled_url_has_ip,scaled_url_has_at,scaled_url_is_shortened,scaled_phone_count,scaled_has_phone,scaled_digit_count,scaled_number_count,scaled_has_digits,scaled_char_count,scaled_word_count,scaled_exclamation_count,scaled_question_count,scaled_comma_count,scaled_dot_count,scaled_colon_count,scaled_special_char_count,scaled_currency_count,scaled_has_currency,scaled_security_keyword_count,scaled_has_security_keyword,scaled_bangla_char_count,scaled_english_char_count,scaled_bangla_ratio,scaled_english_ratio,scaled_has_bangla,scaled_has_english
normal,কেমন আছেন?,Bengali,0,0,কেমন আছেন?,কেমন আছেন?,[],0,0,0,0,0,0,0,0,0,0,0,0,কেমন আছেন?,10,0,0,0,0,0,0,0,0,0,0,0,কেমন আছেন?,কেমন আছেন?,0,0,0,0,0,10,2,0,1,0,0,0,3,0,0,0,0,8,0,1.0,0.0,1,0,-0.681189031411874,-0.5721846852341201,-0.5729110156203767,-0.26188258302176787,-0.6063085113476662,-0.3109926332092896,-0.45917668408121187,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.791214145022946,-0.737359810537172,-1.1187874656334094,-1.1982008999977038,-1.079323422635526,-0.5205196500917993,1.987930924275436,-0.5950596804593921,-0.6099096502850558,-0.6393186988331946,-1.185701323078632,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,-1.111402002804376,-0.596487759197744,0.689445153013466,-0.689445153013466,0.06330889378329174,-0.8884175337563495,-0.681189031411874,-0.5721846852341201,-0.5729110156203767,-0.26188258302176787,-0.6063085113476662,-0.3109926332092896,-0.45917668408121187,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.791214145022946,-0.737359810537172,-1.1187874656334094,-1.1982008999977038,-1.079323422635526,-0.5205196500917993,1.987930924275436,-0.5950596804593921,-0.6099096502850558,-0.6393186988331946,-1.185701323078632,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,-1.111402002804376,-0.596487759197744,0.689445153013466,-0.689445153013466,0.06330889378329174,-0.8884175337563495
smish,আপনার প্যাকেজ ডেলিভারি করতে একটি নতুন ঠিকানা প্রয়োজন। এখানে ক্লিক করুন: [packageupdate.net/AddressBD],Bengali,1,2,আপনার প্যাকেজ ডেলিভারি করতে একটি নতুন ঠিকানা প্রয়োজন। এখানে ক্লিক করুন: [packageupdate.net/AddressBD],আপনার প্যাকেজ ডেলিভারি করতে একটি নতুন ঠিকানা প্রয়োজন। এখানে ক্লিক করুন: [packageupdate.net/AddressBD],['packageupdate.net/AddressBD'],1,1,27,27,0,1,0,1,0,0,0,0,আপনার প্যাকেজ ডেলিভারি করতে একটি নতুন ঠিকানা প্রয়োজন। এখানে ক্লিক করুন: [ [URL] ],82,1,27,27,0,1,0,1,0,0,0,0,আপনার প্যাকেজ ডেলিভারি করতে একটি নতুন ঠিকানা প্রয়োজন। এখানে ক্লিক করুন: [packageupdate.net/AddressBD],আপনার প্যাকেজ ডেলিভারি করতে একটি নতুন ঠিকানা প্রয়োজন। এখানে ক্লিক করুন: [packageupdate.net/AddressBD],0,0,0,0,0,102,12,0,0,0,1,1,28,0,0,0,0,60,25,0.7058823529411765,0.29411764705882354,1,1,1.3263151141019431,1.434801503580075,1.4595482836969158,-0.26188258302176787,0.9011880851048436,-0.3109926332092896,0.6183292584231775,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.791214145022946,-0.737359810537172,-1.1187874656334094,0.2932243196267672,-0.04550058592699241,-0.5205196500917993,-0.3947326954900985,-0.5950596804593921,0.6739757900208809,0.8099965415081198,0.1579075678613721,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,0.051138950261535907,1.2532297906788947,-1.3139722164074759,1.3139722164074763,0.06330889378329174,1.125596875347411,1.3263151141019431,1.434801503580075,1.4595482836969158,-0.26188258302176787,0.9011880851048436,-0.3109926332092896,0.6183292584231775,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.791214145022946,-0.737359810537172,-1.1187874656334094,0.2932243196267672,-0.04550058592699241,-0.5205196500917993,-0.3947326954900985,-0.5950596804593921,0.6739757900208809,0.8099965415081198,0.1579075678613721,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,0.051138950261535907,1.2532297906788947,-1.3139722164074759,1.3139722164074763,0.06330889378329174,1.125596875347411
normal,আজকে আমি একটি নতুন রেস্টুরেন্টে যাব।,Bengali,0,0,আজকে আমি একটি নতুন রেস্টুরেন্টে যাব।,আজকে আমি একটি নতুন রেস্টুরেন্টে যাব।,[],0,0,0,0,0,0,0,0,0,0,0,0,আজকে আমি একটি নতুন রেস্টুরেন্টে যাব।,36,0,0,0,0,0,0,0,0,0,0,0,আজকে আমি একটি নতুন রেস্টুরেন্টে যাব।,আজকে আমি একটি নতুন রেস্টুরেন্টে যাব।,0,0,0,0,0,36,6,0,0,0,0,0,12,0,0,0,0,30,0,1.0,0.0,1,0,-0.681189031411874,-0.5721846852341201,-0.5729110156203767,-0.26188258302176787,-0.6063085113476662,-0.3109926332092896,-0.45917668408121187,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.791214145022946,-0.737359810537172,-1.1187874656334094,-0.7767111640168751,-0.6657942879521125,-0.5205196500917993,-0.3947326954900985,-0.5950596804593921,-0.6099096502850558,-0.6393186988331946,-0.7020021223402305,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,-0.6195577534303365,-0.596487759197744,0.689445153013466,-0.689445153013466,0.06330889378329174,-0.8884175337563495,-0.681189031411874,-0.5721846852341201,-0.5729110156203767,-0.26188258302176787,-0.6063085113476662,-0.3109926332092896,-0.45917668408121187,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.791214145022946,-0.737359810537172,-1.1187874656334094,-0.7767111640168751,-0.6657942879521125,-0.5205196500917993,-0.3947326954900985,-0.5950596804593921,-0.6099096502850558,-0.6393186988331946,-0.7020021223402305,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,-0.6195577534303365,-0.596487759197744,0.689445153013466,-0.689445153013466,0.06330889378329174,-0.8884175337563495
smish,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত: protect-medical.ml,Bengali,1,2,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত: protect-medical.ml,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত: protect-medical.ml,['protect-medical.ml'],1,1,18,18,0,1,1,0,0,0,0,0,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত:  [URL] ,57,1,18,18,0,1,1,0,0,0,0,0,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত: protect-medical.ml,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত: protect-medical.ml,0,0,0,0,0,68,8,0,0,0,1,2,20,0,0,0,0,40,16,0.7142857142857143,0.2857142857142857,1,1,1.3263151141019431,0.7658061073086766,0.7820618505911515,-0.26188258302176787,0.9011880851048436,2.574327908232453,-0.45917668408121187,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.791214145022946,-0.737359810537172,-1.1187874656334094,-0.2579545658866243,-0.45902972061040576,-0.5205196500917993,-0.3947326954900985,-0.5950596804593921,0.6739757900208809,2.2593117818494344,-0.27204727723942923,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,-0.39599218553304566,0.5873314727233047,-1.2567317201383064,1.2567317201383064,0.06330889378329174,1.125596875347411,1.3263151141019431,0.7658061073086766,0.7820618505911515,-0.26188258302176787,0.9011880851048436,2.574327908232453,-0.45917668408121187,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.791214145022946,-0.737359810537172,-1.1187874656334094,-0.2579545658866243,-0.45902972061040576,-0.5205196500917993,-0.3947326954900985,-0.5950596804593921,0.6739757900208809,2.2593117818494344,-0.27204727723942923,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,-0.39599218553304566,0.5873314727233047,-1.2567317201383064,1.2567317201383064,0.06330889378329174,1.125596875347411
smish,মাশরাফির সই করা ব্যাট জিততে ক্যাসিনোতে বাজি ধরুন। এখনই যোগ দিন: promusic.co/components/interbank.com/,Bengali,1,2,মাশরাফির সই করা ব্যাট জিততে ক্যাসিনোতে বাজি ধরুন। এখনই যোগ দিন: promusic.co/components/interbank.com/,মাশরাফির সই করা ব্যাট জিততে ক্যাসিনোতে বাজি ধরুন। এখনই যোগ দিন: promusic.co/components/interbank.com/,['promusic.co/components/interbank.com/'],1,1,37,37,0,2,0,3,0,0,0,0,মাশরাফির সই করা ব্যাট জিততে ক্যাসিনোতে বাজি ধরুন। এখনই যোগ দিন:  [URL] ,71,1,37,37,0,2,0,3,0,0,0,0,মাশরাফির সই করা ব্যাট জিততে ক্যাসিনোতে বাজি ধরুন। এখনই যোগ দিন: promusic.co/components/interbank.com/,মাশরাফির সই করা ব্যাট জিততে ক্যাসিনোতে বাজি ধরুন। এখনই যোগ দিন: promusic.co/components/interbank.com/,0,0,0,0,0,101,12,0,0,0,2,1,25,0,0,0,0,51,32,0.6144578313253012,0.3855421686746988,1,1,1.3263151141019431,2.178129721659406,2.212310987147765,-0.26188258302176787,2.4086846815573533,-0.3109926332092896,2.7733411434319564,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.791214145022946,-0.737359810537172,-1.1187874656334094,0.27701317593519686,-0.04550058592699241,-0.5205196500917993,-0.3947326954900985,-0.5950596804593921,1.9578612303268175,0.8099965415081198,-0.003325499051428382,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,-0.1500700608460258,1.7711507046443535,-1.936721230034709,1.936721230034709,0.06330889378329174,1.125596875347411,1.3263151141019431,2.178129721659406,2.212310987147765,-0.26188258302176787,2.4086846815573533,-0.3109926332092896,2.7733411434319564,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.791214145022946,-0.737359810537172,-1.1187874656334094,0.27701317593519686,-0.04550058592699241,-0.5205196500917993,-0.3947326954900985,-0.5950596804593921,1.9578612303268175,0.8099965415081198,-0.003325499051428382,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,-0.1500700608460258,1.7711507046443535,-1.936721230034709,1.936721230034709,0.06330889378329174,1.125596875347411
smish,"https://t.me/DailyEarn_Money_bot?start=r08368814246
উপরে দেওয়া লিং এ ক্লিক করে ডেলি ২০০ থেকে ৩০০ টাকা ইনকাম করতে চাইলে এখনি ক্লিক করুন",Bengali,1,2,"https://t.me/DailyEarn_Money_bot?start=r08368814246
উপরে দেওয়া লিং এ ক্লিক করে ডেলি ২০০ থেকে ৩০০ টাকা ইনকাম করতে চাইলে এখনি ক্লিক করুন",https://t.me/DailyEarn_Money_bot?start=r08368814246 উপরে দেওয়া লিং এ ক্লিক করে ডেলি ২০০ থেকে ৩০০ টাকা ইনকাম করতে চাইলে এখনি ক্লিক করুন,['https://t.me/DailyEarn_Money_bot?start=r08368814246'],1,1,51,51,11,1,0,3,1,0,0,0, [URL]  উপরে দেওয়া লিং এ ক্লিক করে ডেলি ২০০ থেকে ৩০০ টাকা ইনকাম করতে চাইলে এখনি ক্লিক করুন,91,1,51,51,11,1,0,3,1,0,0,0,"https://t.me/DailyEarn_Money_bot?start=r08368814246
উপরে দেওয়া লিং এ ক্লিক করে ডেলি ২০০ থেকে ৩০০ টাকা ইনকাম করতে চাইলে এখনি ক্লিক করুন",https://t.me/DailyEarn_Money_bot?start=r08368814246 উপরে দেওয়া লিং এ ক্লিক করে ডেলি ২০০ থেকে ৩০০ টাকা ইনকাম করতে চাইলে এখনি ক্লিক করুন,0,0,17,3,1,135,18,0,1,0,1,1,30,1,1,0,0,67,31,0.6836734693877551,0.3163265306122449,1,1,1.3263151141019431,3.2187892269704705,3.2661787719789537,3.6813822121502615,0.9011880851048436,-0.3109926332092896,2.7733411434319564,3.7658754867650877,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,1.8555929536260845,0.9782002440098396,0.8938248154521851,0.8281920614485884,0.5747931160981277,-0.5205196500917993,1.987930924275436,-0.5950596804593921,0.6739757900208809,0.8099965415081198,0.26539627913657243,0.8674266949565264,1.5668989800855393,-0.34285209326367344,-0.38440385407024075,0.20763484778963945,1.697162002649288,-1.4652506708331392,1.4652506708331392,0.06330889378329174,1.125596875347411,1.3263151141019431,3.2187892269704705,3.2661787719789537,3.6813822121502615,0.9011880851048436,-0.3109926332092896,2.7733411434319564,3.7658754867650877,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,1.8555929536260845,0.9782002440098396,0.8938248154521851,0.8281920614485884,0.5747931160981277,-0.5205196500917993,1.987930924275436,-0.5950596804593921,0.6739757900208809,0.8099965415081198,0.26539627913657243,0.8674266949565264,1.5668989800855393,-0.34285209326367344,-0.38440385407024075,0.20763484778963945,1.697162002649288,-1.4652506708331392,1.4652506708331392,0.06330889378329174,1.125596875347411
smish,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। ক্লিক করুন: xini.eu/00Qe,Bengali,1,2,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। ক্লিক করুন: xini.eu/00Qe,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। ক্লিক করুন: xini.eu/00Qe,['xini.eu/00Qe'],1,1,12,12,2,1,0,1,0,0,0,0,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। ক্লিক করুন:  [URL] ,87,1,12,12,2,1,0,1,0,0,0,0,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। ক্লিক করুন: xini.eu/00Qe,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। ক্লিক করুন: xini.eu/00Qe,0,0,2,1,1,92,15,0,0,0,1,1,27,0,0,0,0,64,8,0.8888888888888888,0.1111111111111111,1,1,1.3263151141019431,0.3198091764610777,0.33040422852064216,0.45507465246405565,0.9011880851048436,-0.3109926332092896,0.6183292584231775,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.4798250745936483,-0.16550645902150152,0.8938248154521851,0.1311128827110638,0.2646462650855676,-0.5205196500917993,-0.3947326954900985,-0.5950596804593921,0.6739757900208809,0.8099965415081198,0.10416321222377195,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,0.14056517742045221,-0.004578143237219664,-0.06740140876777921,0.06740140876777882,0.06330889378329174,1.125596875347411,1.3263151141019431,0.3198091764610777,0.33040422852064216,0.45507465246405565,0.9011880851048436,-0.3109926332092896,0.6183292584231775,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.4798250745936483,-0.16550645902150152,0.8938248154521851,0.1311128827110638,0.2646462650855676,-0.5205196500917993,-0.3947326954900985,-0.5950596804593921,0.6739757900208809,0.8099965415081198,0.10416321222377195,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,0.14056517742045221,-0.004578143237219664,-0.06740140876777921,0.06740140876777882,0.06330889378329174,1.125596875347411
promo,Banglalink গ্রাহকরা ১০০ টাকা রিচার্জে পাচ্ছেন ১০০ এসএমএস ফ্রি। অফার বৈধ আজ রাত পর্যন্ত।,Bengali,0,1,Banglalink গ্রাহকরা ১০০ টাকা রিচার্জে পাচ্ছেন ১০০ এসএমএস ফ্রি। অফার বৈধ আজ রাত পর্যন্ত।,Banglalink গ্রাহকরা ১০০ টাকা রিচার্জে পাচ্ছেন ১০০ এসএমএস ফ্রি। অফার বৈধ আজ রাত পর্যন্ত।,[],0,0,0,0,0,0,0,0,0,0,0,0,Banglalink গ্রাহকরা ১০০ টাকা রিচার্জে পাচ্ছেন ১০০ এসএমএস ফ্রি। অফার বৈধ আজ রাত পর্যন্ত।,87,0,0,0,0,0,0,0,0,0,0,0,Banglalink গ্রাহকরা ১০০ টাকা রিচার্জে পাচ্ছেন ১০০ এসএমএস ফ্রি। অফার বৈধ আজ রাত পর্যন্ত।,Banglalink গ্রাহকরা ১০০ টাকা রিচার্জে পাচ্ছেন ১০০ এসএমএস ফ্রি। অফার বৈধ আজ রাত পর্যন্ত।,0,0,6,2,1,87,14,0,0,0,0,0,21,1,1,0,0,62,10,0.8611111111111112,0.1388888888888889,1,1,-0.681189031411874,-0.5721846852341201,-0.5729110156203767,-0.26188258302176787,-0.6063085113476662,-0.3109926332092896,-0.45917668408121187,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,0.14295306626494708,0.40634689249416905,0.8938248154521851,0.05005716425321211,0.1612639814147143,-0.5205196500917993,-0.3947326954900985,-0.5950596804593921,-0.6099096502850558,-0.6393186988331946,-0.21830292160182904,0.8674266949565264,1.5668989800855393,-0.34285209326367344,-0.38440385407024075,0.09585206384099407,0.14339926075291143,-0.25661304921308975,0.25661304921309014,0.06330889378329174,1.125596875347411,-0.681189031411874,-0.5721846852341201,-0.5729110156203767,-0.26188258302176787,-0.6063085113476662,-0.3109926332092896,-0.45917668408121187,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,0.14295306626494708,0.40634689249416905,0.8938248154521851,0.05005716425321211,0.1612639814147143,-0.5205196500917993,-0.3947326954900985,-0.5950596804593921,-0.6099096502850558,-0.6393186988331946,-0.21830292160182904,0.8674266949565264,1.5668989800855393,-0.34285209326367344,-0.38440385407024075,0.09585206384099407,0.14339926075291143,-0.25661304921308975,0.25661304921309014,0.06330889378329174,1.125596875347411
normal,বিকেলে কি করছো?,Bengali,0,0,বিকেলে কি করছো?,বিকেলে কি করছো?,[],0,0,0,0,0,0,0,0,0,0,0,0,বিকেলে কি করছো?,15,0,0,0,0,0,0,0,0,0,0,0,বিকেলে কি করছো?,বিকেলে কি করছো?,0,0,0,0,0,15,3,0,1,0,0,0,6,0,0,0,0,12,0,1.0,0.0,1,0,-0.681189031411874,-0.5721846852341201,-0.5729110156203767,-0.26188258302176787,-0.6063085113476662,-0.3109926332092896,-0.45917668408121187,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.791214145022946,-0.737359810537172,-1.1187874656334094,-1.1171451815398523,-0.9759411389646725,-0.5205196500917993,1.987930924275436,-0.5950596804593921,-0.6099096502850558,-0.6393186988331946,-1.0244682561658316,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,-1.02197577564546,-0.596487759197744,0.689445153013466,-0.689445153013466,0.06330889378329174,-0.8884175337563495,-0.681189031411874,-0.5721846852341201,-0.5729110156203767,-0.26188258302176787,-0.6063085113476662,-0.3109926332092896,-0.45917668408121187,-0.26554250227189724,0.0,0.0,-0.3064089797673954,-0.34450613845155054,-0.3493715362257607,-0.791214145022946,-0.737359810537172,-1.1187874656334094,-1.1171451815398523,-0.9759411389646725,-0.5205196500917993,1.987930924275436,-0.5950596804593921,-0.6099096502850558,-0.6393186988331946,-1.0244682561658316,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,-1.02197577564546,-0.596487759197744,0.689445153013466,-0.689445153013466,0.06330889378329174,-0.8884175337563495
promo,"১৭ই মে, ২০২৪ বিশ্ব টেলিযোগাযোগ ও তথ্য সংঘ দিবস (WTISD) উপলক্ষ্যে অনলাইন রচনা প্রতিযোগিতা আয়োজন করা হয়েছে। অংশ গ্রহণ করতে ক্লিক করুনঃ https://bit.ly/wtisd24",Bengali,1,1,"১৭ই মে, ২০২৪ বিশ্ব টেলিযোগাযোগ ও তথ্য সংঘ দিবস (WTISD) উপলক্ষ্যে অনলাইন রচনা প্রতিযোগিতা আয়োজন করা হয়েছে। অংশ গ্রহণ করতে ক্লিক করুনঃ https://bit.ly/wtisd24","১৭ই মে, ২০২৪ বিশ্ব টেলিযোগাযোগ ও তথ্য সংঘ দিবস (WTISD) উপলক্ষ্যে অনলাইন রচনা প্রতিযোগিতা আয়োজন করা হয়েছে। অংশ গ্রহণ করতে ক্লিক করুনঃ https://bit.ly/wtisd24",['https://bit.ly/wtisd24'],1,1,22,22,2,1,0,3,1,0,0,1,"১৭ই মে, ২০২৪ বিশ্ব টেলিযোগাযোগ ও তথ্য সংঘ দিবস (WTISD) উপলক্ষ্যে অনলাইন রচনা প্রতিযোগিতা আয়োজন করা হয়েছে। অংশ গ্রহণ করতে ক্লিক করুনঃ  [URL] ",142,1,22,22,2,1,0,3,1,0,0,1,"১৭ই মে, ২০২৪ বিশ্ব টেলিযোগাযোগ ও তথ্য সংঘ দিবস (WTISD) উপলক্ষ্যে অনলাইন রচনা প্রতিযোগিতা আয়োজন করা হয়েছে। অংশ গ্রহণ করতে ক্লিক করুনঃ https://bit.ly/wtisd24","১৭ই মে, ২০২৪ বিশ্ব টেলিযোগাযোগ ও তথ্য সংঘ দিবস (WTISD) উপলক্ষ্যে অনলাইন রচনা প্রতিযোগিতা আয়োজন করা হয়েছে। অংশ গ্রহণ করতে ক্লিক করুনঃ https://bit.ly/wtisd24",0,0,8,3,1,157,23,0,0,1,1,1,43,0,0,0,0,104,20,0.8387096774193549,0.16129032258064516,1,1,1.3263151141019431,1.0631373945404092,1.0831669319714912,0.45507465246405565,0.9011880851048436,-0.3109926332092896,2.7733411434319564,3.7658754867650877,0.0,0.0,3.2636119240341177,-0.34450613845155054,-0.3493715362257607,0.4543421366942448,0.9782002440098396,0.8938248154521851,1.1848372226631358,1.0917045344523943,-0.5205196500917993,-0.3947326954900985,0.6523248379931412,0.6739757900208809,0.8099965415081198,0.9640729024253746,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,1.0348274490096154,0.8832862807035669,-0.4092030818302763,0.4092030818302765,0.06330889378329174,1.125596875347411,1.3263151141019431,1.0631373945404092,1.0831669319714912,0.45507465246405565,0.9011880851048436,-0.3109926332092896,2.7733411434319564,3.7658754867650877,0.0,0.0,3.2636119240341177,-0.34450613845155054,-0.3493715362257607,0.4543421366942448,0.9782002440098396,0.8938248154521851,1.1848372226631358,1.0917045344523943,-0.5205196500917993,-0.3947326954900985,0.6523248379931412,0.6739757900208809,0.8099965415081198,0.9640729024253746,-0.5435498445669142,-0.6382032362707954,-0.34285209326367344,-0.38440385407024075,1.0348274490096154,0.8832862807035669,-0.4092030818302763,0.4092030818302765,0.06330889378329174,1.125596875347411
