label,text,source,has_url,label_id,text_original,text_normalized,urls,url_count,url_count.1,url_total_length,url_max_length,url_digit_count,url_dot_count,url_hyphen_count,url_slash_count,url_has_https,url_has_ip,url_has_at,url_is_shortened,text_for_model,character_length,url_count.2,url_total_length.1,url_max_length.1,url_digit_count.1,url_dot_count.1,url_hyphen_count.1,url_slash_count.1,url_has_https.1,url_has_ip.1,url_has_at.1,url_is_shortened.1,url_count,url_total_length,url_max_length,url_digit_count,url_dot_count,url_hyphen_count,url_slash_count,url_has_https,url_has_ip,url_has_at,url_is_shortened,text_unicode,text_clean,phone_count,has_phone,digit_count,number_count,has_digits,char_count,word_count,exclamation_count,question_count,comma_count,dot_count,colon_count,special_char_count,currency_count,has_currency,security_keyword_count,has_security_keyword,bangla_char_count,english_char_count,bangla_ratio,english_ratio,has_bangla,has_english
normal,কেমন আছেন?,Bengali,0,0,কেমন আছেন?,কেমন আছেন?,[],0,0,0,0,0,0,0,0,0,0,0,0,কেমন আছেন?,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,কেমন আছেন?,কেমন আছেন?,0,0,0,0,0,10,2,0,1,0,0,0,3,0,0,0,0,8,0,1.0,0.0,1,0
smish,আপনার প্যাকেজ ডেলিভারি করতে একটি নতুন ঠিকানা প্রয়োজন। এখানে ক্লিক করুন: [packageupdate.net/AddressBD],Bengali,1,2,আপনার প্যাকেজ ডেলিভারি করতে একটি নতুন ঠিকানা প্রয়োজন। এখানে ক্লিক করুন: [packageupdate.net/AddressBD],আপনার প্যাকেজ ডেলিভারি করতে একটি নতুন ঠিকানা প্রয়োজন। এখানে ক্লিক করুন: [packageupdate.net/AddressBD],['packageupdate.net/AddressBD'],1,1,27,27,0,1,0,1,0,0,0,0,আপনার প্যাকেজ ডেলিভারি করতে একটি নতুন ঠিকানা প্রয়োজন। এখানে ক্লিক করুন: [ [URL] ],82,1,27,27,0,1,0,1,0,0,0,0,1,27,27,0,1,0,1,0,0,0,0,আপনার প্যাকেজ ডেলিভারি করতে একটি নতুন ঠিকানা প্রয়োজন। এখানে ক্লিক করুন: [packageupdate.net/AddressBD],আপনার প্যাকেজ ডেলিভারি করতে একটি নতুন ঠিকানা প্রয়োজন। এখানে ক্লিক করুন: [packageupdate.net/AddressBD],0,0,0,0,0,102,12,0,0,0,1,1,28,0,0,0,0,60,25,0.7058823529411765,0.29411764705882354,1,1
normal,আজকে আমি একটি নতুন রেস্টুরেন্টে যাব।,Bengali,0,0,আজকে আমি একটি নতুন রেস্টুরেন্টে যাব।,আজকে আমি একটি নতুন রেস্টুরেন্টে যাব।,[],0,0,0,0,0,0,0,0,0,0,0,0,আজকে আমি একটি নতুন রেস্টুরেন্টে যাব।,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,আজকে আমি একটি নতুন রেস্টুরেন্টে যাব।,আজকে আমি একটি নতুন রেস্টুরেন্টে যাব।,0,0,0,0,0,36,6,0,0,0,0,0,12,0,0,0,0,30,0,1.0,0.0,1,0
smish,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত: protect-medical.ml,Bengali,1,2,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত: protect-medical.ml,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত: protect-medical.ml,['protect-medical.ml'],1,1,18,18,0,1,1,0,0,0,0,0,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত:  [URL] ,57,1,18,18,0,1,1,0,0,0,0,0,1,18,18,0,1,1,0,0,0,0,0,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত: protect-medical.ml,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত: protect-medical.ml,0,0,0,0,0,68,8,0,0,0,1,2,20,0,0,0,0,40,16,0.7142857142857143,0.2857142857142857,1,1
smish,মাশরাফির সই করা ব্যাট জিততে ক্যাসিনোতে বাজি ধরুন। এখনই যোগ দিন: promusic.co/components/interbank.com/,Bengali,1,2,মাশরাফির সই করা ব্যাট জিততে ক্যাসিনোতে বাজি ধরুন। এখনই যোগ দিন: promusic.co/components/interbank.com/,মাশরাফির সই করা ব্যাট জিততে ক্যাসিনোতে বাজি ধরুন। এখনই যোগ দিন: promusic.co/components/interbank.com/,['promusic.co/components/interbank.com/'],1,1,37,37,0,2,0,3,0,0,0,0,মাশরাফির সই করা ব্যাট জিততে ক্যাসিনোতে বাজি ধরুন। এখনই যোগ দিন:  [URL] ,71,1,37,37,0,2,0,3,0,0,0,0,1,37,37,0,2,0,3,0,0,0,0,মাশরাফির সই করা ব্যাট জিততে ক্যাসিনোতে বাজি ধরুন। এখনই যোগ দিন: promusic.co/components/interbank.com/,মাশরাফির সই করা ব্যাট জিততে ক্যাসিনোতে বাজি ধরুন। এখনই যোগ দিন: promusic.co/components/interbank.com/,0,0,0,0,0,101,12,0,0,0,2,1,25,0,0,0,0,51,32,0.6144578313253012,0.3855421686746988,1,1
smish,"https://t.me/DailyEarn_Money_bot?start=r08368814246
উপরে দেওয়া লিং এ ক্লিক করে ডেলি ২০০ থেকে ৩০০ টাকা ইনকাম করতে চাইলে এখনি ক্লিক করুন",Bengali,1,2,"https://t.me/DailyEarn_Money_bot?start=r08368814246
উপরে দেওয়া লিং এ ক্লিক করে ডেলি ২০০ থেকে ৩০০ টাকা ইনকাম করতে চাইলে এখনি ক্লিক করুন",https://t.me/DailyEarn_Money_bot?start=r08368814246 উপরে দেওয়া লিং এ ক্লিক করে ডেলি ২০০ থেকে ৩০০ টাকা ইনকাম করতে চাইলে এখনি ক্লিক করুন,['https://t.me/DailyEarn_Money_bot?start=r08368814246'],1,1,51,51,11,1,0,3,1,0,0,0, [URL]  উপরে দেওয়া লিং এ ক্লিক করে ডেলি ২০০ থেকে ৩০০ টাকা ইনকাম করতে চাইলে এখনি ক্লিক করুন,91,1,51,51,11,1,0,3,1,0,0,0,1,51,51,11,1,0,3,1,0,0,0,"https://t.me/DailyEarn_Money_bot?start=r08368814246
উপরে দেওয়া লিং এ ক্লিক করে ডেলি ২০০ থেকে ৩০০ টাকা ইনকাম করতে চাইলে এখনি ক্লিক করুন",https://t.me/DailyEarn_Money_bot?start=r08368814246 উপরে দেওয়া লিং এ ক্লিক করে ডেলি ২০০ থেকে ৩০০ টাকা ইনকাম করতে চাইলে এখনি ক্লিক করুন,0,0,17,3,1,135,18,0,1,0,1,1,30,1,1,0,0,67,31,0.6836734693877551,0.3163265306122449,1,1
smish,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। ক্লিক করুন: xini.eu/00Qe,Bengali,1,2,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। ক্লিক করুন: xini.eu/00Qe,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। ক্লিক করুন: xini.eu/00Qe,['xini.eu/00Qe'],1,1,12,12,2,1,0,1,0,0,0,0,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। ক্লিক করুন:  [URL] ,87,1,12,12,2,1,0,1,0,0,0,0,1,12,12,2,1,0,1,0,0,0,0,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। ক্লিক করুন: xini.eu/00Qe,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। ক্লিক করুন: xini.eu/00Qe,0,0,2,1,1,92,15,0,0,0,1,1,27,0,0,0,0,64,8,0.8888888888888888,0.1111111111111111,1,1
promo,Banglalink গ্রাহকরা ১০০ টাকা রিচার্জে পাচ্ছেন ১০০ এসএমএস ফ্রি। অফার বৈধ আজ রাত পর্যন্ত।,Bengali,0,1,Banglalink গ্রাহকরা ১০০ টাকা রিচার্জে পাচ্ছেন ১০০ এসএমএস ফ্রি। অফার বৈধ আজ রাত পর্যন্ত।,Banglalink গ্রাহকরা ১০০ টাকা রিচার্জে পাচ্ছেন ১০০ এসএমএস ফ্রি। অফার বৈধ আজ রাত পর্যন্ত।,[],0,0,0,0,0,0,0,0,0,0,0,0,Banglalink গ্রাহকরা ১০০ টাকা রিচার্জে পাচ্ছেন ১০০ এসএমএস ফ্রি। অফার বৈধ আজ রাত পর্যন্ত।,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banglalink গ্রাহকরা ১০০ টাকা রিচার্জে পাচ্ছেন ১০০ এসএমএস ফ্রি। অফার বৈধ আজ রাত পর্যন্ত।,Banglalink গ্রাহকরা ১০০ টাকা রিচার্জে পাচ্ছেন ১০০ এসএমএস ফ্রি। অফার বৈধ আজ রাত পর্যন্ত।,0,0,6,2,1,87,14,0,0,0,0,0,21,1,1,0,0,62,10,0.8611111111111112,0.1388888888888889,1,1
normal,বিকেলে কি করছো?,Bengali,0,0,বিকেলে কি করছো?,বিকেলে কি করছো?,[],0,0,0,0,0,0,0,0,0,0,0,0,বিকেলে কি করছো?,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,বিকেলে কি করছো?,বিকেলে কি করছো?,0,0,0,0,0,15,3,0,1,0,0,0,6,0,0,0,0,12,0,1.0,0.0,1,0
promo,"১৭ই মে, ২০২৪ বিশ্ব টেলিযোগাযোগ ও তথ্য সংঘ দিবস (WTISD) উপলক্ষ্যে অনলাইন রচনা প্রতিযোগিতা আয়োজন করা হয়েছে। অংশ গ্রহণ করতে ক্লিক করুনঃ https://bit.ly/wtisd24",Bengali,1,1,"১৭ই মে, ২০২৪ বিশ্ব টেলিযোগাযোগ ও তথ্য সংঘ দিবস (WTISD) উপলক্ষ্যে অনলাইন রচনা প্রতিযোগিতা আয়োজন করা হয়েছে। অংশ গ্রহণ করতে ক্লিক করুনঃ https://bit.ly/wtisd24","১৭ই মে, ২০২৪ বিশ্ব টেলিযোগাযোগ ও তথ্য সংঘ দিবস (WTISD) উপলক্ষ্যে অনলাইন রচনা প্রতিযোগিতা আয়োজন করা হয়েছে। অংশ গ্রহণ করতে ক্লিক করুনঃ https://bit.ly/wtisd24",['https://bit.ly/wtisd24'],1,1,22,22,2,1,0,3,1,0,0,1,"১৭ই মে, ২০২৪ বিশ্ব টেলিযোগাযোগ ও তথ্য সংঘ দিবস (WTISD) উপলক্ষ্যে অনলাইন রচনা প্রতিযোগিতা আয়োজন করা হয়েছে। অংশ গ্রহণ করতে ক্লিক করুনঃ  [URL] ",142,1,22,22,2,1,0,3,1,0,0,1,1,22,22,2,1,0,3,1,0,0,1,"১৭ই মে, ২০২৪ বিশ্ব টেলিযোগাযোগ ও তথ্য সংঘ দিবস (WTISD) উপলক্ষ্যে অনলাইন রচনা প্রতিযোগিতা আয়োজন করা হয়েছে। অংশ গ্রহণ করতে ক্লিক করুনঃ https://bit.ly/wtisd24","১৭ই মে, ২০২৪ বিশ্ব টেলিযোগাযোগ ও তথ্য সংঘ দিবস (WTISD) উপলক্ষ্যে অনলাইন রচনা প্রতিযোগিতা আয়োজন করা হয়েছে। অংশ গ্রহণ করতে ক্লিক করুনঃ https://bit.ly/wtisd24",0,0,8,3,1,157,23,0,0,1,1,1,43,0,0,0,0,104,20,0.8387096774193549,0.16129032258064516,1,1
